DateTime,UserInput,BotReply
2025-09-22 23:26:50.718029,ഞങങളട വഴയൽ വളള വരനനലല,"
ഗ്രാമസഖി (AI മറുപടി): ക്ഷമിക്കണം, നിങ്ങളുടെ ചോദ്യം എനിക്ക് വ്യക്തമായി മനസ്സിലായില്ല.  ""ഞങങളട വഴയൽ വളള വരനനലല"" എന്നത് എന്താണ് അർത്ഥമാക്കുന്നത് എന്ന് എനിക്ക് മനസ്സിലാകുന്നില്ല.  കൂടുതൽ വിശദമായി ചോദിച്ചാൽ എനിക്ക് നിങ്ങളെ സഹായിക്കാൻ കഴിയും.  എന്താണ് നിങ്ങൾ അറിയാൻ ആഗ്രഹിക്കുന്നത്?  നിങ്ങളുടെ പ്രശ്നം കൃത്യമായി വിവരിക്കാൻ ശ്രമിക്കുക, ദയവായി.

"
2025-09-22 23:50:23.467463,വധവ പൻഷൻ,"
ഗ്രാമസഖി (AI മറുപടി): ഹായ്!  വധുപെണ്ണിനുള്ള പെൻഷൻ വിവരങ്ങൾ അന്വേഷിക്കുന്നതാണോ?  ക്ഷമിക്കണം, ""വധവു പെൻഷൻ"" എന്നത് കൃത്യമായ പദമല്ല.  നിങ്ങൾക്ക്  **വിധവ പെൻഷൻ**  ലഭിക്കുന്നതിനെക്കുറിച്ച് അന്വേഷിക്കുകയാണെന്നാണ് ഞാൻ കരുതുന്നത്.

വിധവ പെൻഷൻ ലഭിക്കാൻ പല സ്കീമുകളുമുണ്ട് കേരളത്തിൽ.  ഏതാണ് നിങ്ങൾക്ക്  ഉചിതം എന്ന് നിങ്ങളുടെ പ്രായം, വരുമാനം,  വിവാഹിതയായിരുന്ന കാലയളവ്,  ഭർത്താവിന്റെ മരണകാരണം  എന്നിവ അറിഞ്ഞാലേ  നിർണയിക്കാൻ കഴിയൂ.

കൂടുതൽ വിവരങ്ങൾക്ക്  നിങ്ങൾക്ക് ഇനിപ്പറയുന്നവരിൽ നിന്നും സഹായം തേടാം:

* **ഗ്രാമ പഞ്ചായത്ത്/നഗരസഭ/കോർപ്പറേഷൻ:** നിങ്ങളുടെ പ്രദേശത്തെ ഗ്രാമപഞ്ചായത്ത്/നഗരസഭ/കോർപ്പറേഷൻ ഓഫീസിൽ  നിന്ന് വിശദമായ വിവരങ്ങൾ ലഭിക്കും. അവർക്ക് ഏറ്റവും കൃത്യമായ വിവരങ്ങൾ നൽകാൻ കഴിയും.
* **ജില്ലാ പഞ്ചായത്ത്:** ഗ്രാമപഞ്ചായത്തിൽ നിന്ന് കൂടുതൽ വിവരങ്ങൾ ലഭിക്കുന്നില്ലെങ്കിൽ ജില്ലാ പഞ്ചായത്തിൽ  നിന്ന് അന്വേഷിക്കാം.
* **സാമൂഹ്യ സുരക്ഷാ പെൻഷൻ പദ്ധതിയുടെ ഔദ്യോഗിക വെബ്സൈറ്റ്:** കേരള സർക്കാരിന്റെ സാമൂഹ്യ സുരക്ഷാ പെൻഷൻ പദ്ധതിയുമായി ബന്ധപ്പെട്ട വെബ്സൈറ്റ് പരിശോധിക്കുക. (എന്നാൽ ഈ വെബ്സൈറ്റ് വിവരങ്ങൾ എല്ലായ്പ്പോഴും പൂർണമായി അപ്ഡേറ്റ് ചെയ്തതായിരിക്കില്ല എന്ന കാര്യം ഓർക്കുക.)

നിങ്ങൾക്ക്  കൂടുതൽ വിവരങ്ങൾ  തരേണ്ടത് എന്താണെന്ന്  എനിക്ക് അറിയിക്കൂ.  എന്റെ കഴിവിന്റെ പരമാവധി നിങ്ങളെ സഹായിക്കാൻ ഞാൻ ശ്രമിക്കും.  ആശങ്കപ്പെടേണ്ട,  എല്ലാം ശരിയാകും! 😊

"
2025-09-23 10:13:30.408399,C:\Users\fathi\final-project\gramasathi_env\Scripts\activate,"
ഗ്രാമസഖി (AI മറുപടി): ക്ഷമിക്കണം, പക്ഷേ  `C:\Users\fathi\final-project\gramasathi_env\Scripts\activate`  എന്നത് ഒരു കമ്പ്യൂട്ടർ കമാൻഡാണ്, അല്ലാതെ എനിക്ക് ഉത്തരം നൽകാൻ കഴിയുന്ന ഒരു ചോദ്യമല്ല.  അത് നിങ്ങളുടെ കമ്പ്യൂട്ടറിലെ ഒരു പ്രത്യേക എൻവയോൺമെന്റ് ആക്ടിവേറ്റ് ചെയ്യുന്നതാണ്. 

എന്താണ് നിങ്ങൾ ചെയ്യാൻ ശ്രമിക്കുന്നത്?  എനിക്ക് എന്തെങ്കിലും സഹായിക്കാൻ കഴിയുമെങ്കിൽ ദയവായി എന്നോട് പറയുക.  നിങ്ങളുടെ പ്രോജക്ട് കുറിച്ച് കൂടുതൽ വിവരങ്ങൾ പറഞ്ഞാൽ എനിക്ക് നിങ്ങളെ സഹായിക്കാൻ കഴിയും.  ഉദാഹരണത്തിന്, നിങ്ങൾ എന്താണ് സൃഷ്ടിക്കാൻ ശ്രമിക്കുന്നത്? എന്തെങ്കിലും പ്രശ്നങ്ങൾ നേരിടുന്നുണ്ടോ?

"
2025-09-23 10:14:29.098556,വധവ പൻഷൻ,"
ഗ്രാമസഖി (AI മറുപടി): ഹലോ! എന്താണ് വധൂപണ പെൻഷനെക്കുറിച്ച് അറിയേണ്ടത്?  നിങ്ങൾക്ക് എന്താണ് സംശയം?  

നിങ്ങൾക്ക്  വധൂപണ പെൻഷന് അർഹതയുണ്ടോ എന്ന് അറിയണമെങ്കിൽ, അതിനുള്ള യോഗ്യതകൾ, അപേക്ഷിക്കേണ്ട വിധം,  ലഭിക്കുന്ന തുക,  ആവശ്യമായ രേഖകൾ  തുടങ്ങിയ കാര്യങ്ങളെക്കുറിച്ച്  കൂടുതലറിയാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?  

കൂടുതൽ വിവരങ്ങൾ തരാനും  സഹായിക്കാനും ഞാൻ ഇവിടെയുണ്ട്.  നിങ്ങളുടെ ചോദ്യങ്ങൾ  കൂടുതൽ  വിശദമായി  ചോദിക്കൂ,  എങ്കിൽ ഞാൻ  നിങ്ങൾക്ക്  സഹായിക്കാൻ കഴിയും. 😊

"
2025-10-15 10:48:27.971544,വദയത പരശന,"
ഗ്രാമസഖി (AI മറുപടി): ഹലോ! 'വൈദ്യുതി പ്രശ്നം' എന്നാണോ നിങ്ങൾ ഉദ്ദേശിച്ചത്? തീർച്ചയായും സഹായിക്കാം. ഗ്രാമസഖി ഇവിടെയുണ്ട്.

കേരളത്തിലെ വൈദ്യുതി സംബന്ധമായ പ്രശ്നങ്ങൾക്ക് സാധാരണയായി ചെയ്യാവുന്ന ചില കാര്യങ്ങൾ താഴെക്കൊടുക്കുന്നു:

### 1. കറന്റ് ഇല്ലെങ്കിൽ (പവർ കട്ട്)

*   **ആദ്യം ശ്രദ്ധിക്കുക:** നിങ്ങളുടെ വീട്ടിൽ മാത്രമാണോ അതോ അയൽപക്കത്തും കറന്റ് ഇല്ലയോ എന്ന് നോക്കുക. നിങ്ങളുടെ വീട്ടിൽ മാത്രമാണ് പ്രശ്നമെങ്കിൽ ഫ്യൂസ് പോയതാണോ എന്ന് പരിശോധിക്കാം.
*   **KSEB-യെ വിളിക്കുക:** വൈദ്യുതി തടസ്സങ്ങൾ അറിയിക്കാൻ KSEB-യുടെ 24 മണിക്കൂറും പ്രവർത്തിക്കുന്ന **1912** എന്ന ടോൾ ഫ്രീ നമ്പറിൽ വിളിക്കാം. വിളിക്കുമ്പോൾ നിങ്ങളുടെ വൈദ്യുതി ബില്ലിലുള്ള 13 അക്ക ഉപഭോക്തൃ നമ്പർ (Consumer Number) കയ്യിൽ കരുതുന്നത് നല്ലതാണ്.
*   **സെക്ഷൻ ഓഫീസിൽ വിളിക്കാം:** നിങ്ങളുടെ വീടിന്റെ അടുത്തുള്ള KSEB സെക്ഷൻ ഓഫീസിലെ നമ്പറിലും വിളിച്ച് പരാതി പറയാവുന്നതാണ്.

### 2. ബില്ലിലെ പ്രശ്നങ്ങൾ

ബില്ല് കിട്ടിയില്ല, ബില്ലിൽ തുക വളരെ കൂടുതലാണ്, മീറ്റർ റീഡിംഗിൽ സംശയമുണ്ട് തുടങ്ങിയ പ്രശ്നങ്ങൾക്ക് നിങ്ങളുടെ സെക്ഷൻ ഓഫീസുമായി നേരിട്ട് ബന്ധപ്പെടുന്നതാണ് ഏറ്റവും നല്ലത്. പഴയ ബില്ലുകളും കയ്യിൽ കരുതുക.

### 3. അപകടകരമായ സാഹചര്യങ്ങൾ

പൊട്ടിവീണ വൈദ്യുതി ലൈനുകളോ, മരങ്ങൾ വീണ് കമ്പികൾക്ക് അപകടം പറ്റിയതോ, പോസ്റ്റുകൾക്ക് കേടുപാടുകളോ ശ്രദ്ധയിൽപ്പെട്ടാൽ ഒരു കാരണവശാലും അതിനടുത്തേക്ക് പോകരുത്. ഉടൻ തന്നെ **1912** എന്ന നമ്പറിലോ അടുത്തുള്ള KSEB ഓഫീസിലോ വിവരമറിയിക്കുക. ഇത് വളരെ പ്രധാനമാണ്.

### 4. ഓൺലൈൻ സേവനങ്ങൾ

വൈദ്യുതി ബിൽ അടയ്ക്കാനും, പുതിയ കണക്ഷന് അപേക്ഷിക്കാനും, പരാതികൾ നൽകാനും ഇപ്പോൾ ഓൺലൈനായി സൗകര്യമുണ്ട്. KSEB-യുടെ ഔദ്യോഗിക വെബ്സൈറ്റായ **wss.kseb.in** സന്ദർശിച്ചാൽ മതി.

നിങ്ങളുടെ പ്രശ്നം ഇതിൽ ഏതാണെന്ന് കുറച്ചുകൂടി വ്യക്തമാക്കിയാൽ, എനിക്ക് കൂടുതൽ കൃത്യമായ വിവരങ്ങൾ നൽകാൻ സാധിക്കും. എന്ത് സഹായത്തിനും ഈ ഗ്രാമസഖി ഇവിടെയുണ്ട്
"
2025-10-15 10:52:23.138891,ഓൺലൻ സവനങങൾ,"
ഗ്രാമസഖി (AI മറുപടി): നമസ്കാരം! ഞാൻ ഗ്രാമസഖി. ഓൺലൈൻ സേവനങ്ങളെക്കുറിച്ച് അറിയാൻ താല്പര്യം കാണിച്ചതിൽ വളരെ സന്തോഷം.

ഇന്നത്തെ കാലത്ത് ഒരുപാട് കാര്യങ്ങൾക്കായി സർക്കാർ ഓഫീസുകളിലോ ബാങ്കുകളിലോ ക്യൂ നിൽക്കേണ്ട ആവശ്യമില്ല. എല്ലാം നമ്മുടെ വിരൽത്തുമ്പിൽ ലഭ്യമാണ്. പ്രധാനപ്പെട്ട ചില ഓൺലൈൻ സേവനങ്ങൾ ഏതൊക്കെയാണെന്ന് ഞാൻ ലളിതമായി പറഞ്ഞുതരാം.

**1. സർക്കാർ സേവനങ്ങൾ:**

*   **സർട്ടിഫിക്കറ്റുകൾ:** വരുമാനം, ജാതി, താമസസ്ഥലം, കൈവശാവകാശം തുടങ്ങിയ സർട്ടിഫിക്കറ്റുകൾക്ക് ഇപ്പോൾ വില്ലേജ് ഓഫീസിൽ പോകാതെ തന്നെ അപേക്ഷിക്കാം. ഇതിനായി **'ഇ-ഡിസ്ട്രിക്റ്റ്' (e-District)** എന്ന വെബ്സൈറ്റ് ഉപയോഗിക്കാം.
*   **പഞ്ചായത്ത് സേവനങ്ങൾ:** കെട്ടിടനികുതി അടയ്ക്കാനും, ജനന/മരണ സർട്ടിഫിക്കറ്റുകൾ എടുക്കാനും, മറ്റ് ലൈസൻസുകൾക്ക് അപേക്ഷിക്കാനും **'സഞ്ചയ' (Sanchaya)** എന്ന ഓൺലൈൻ സംവിധാനം ഉപയോഗിക്കാം.
*   **ഭൂനികുതി:** പറമ്പിന്റെയും മറ്റും കരം അടയ്ക്കാൻ ഇനി വില്ലേജ് ഓഫീസിൽ പോകേണ്ട. **REVENUE.LOKAM** എന്ന വെബ്സൈറ്റിലൂടെ ഓൺലൈനായി അടയ്ക്കാം.
*   **ബില്ലുകൾ അടയ്ക്കൽ:** കറണ്ട് ബിൽ (KSEB), വെള്ളക്കരം (Water Authority), ഫോൺ ബിൽ എന്നിവയെല്ലാം വീട്ടിലിരുന്ന് തന്നെ അടയ്ക്കാം.

**2. ബാങ്കിംഗ് സേവനങ്ങൾ:**

*   ബാങ്കിൽ പോകാതെ പണം അയക്കാനും, അക്കൗണ്ടിലെ ബാലൻസ് അറിയാനും, ഫോൺ റീചാർജ് ചെയ്യാനും ഇപ്പോൾ സാധിക്കും. **Google Pay, PhonePe** പോലുള്ള ആപ്പുകൾ ഉപയോഗിച്ച് കടകളിലും മറ്റും പണം നൽകാം.

**3. യാത്ര ടിക്കറ്റുകൾ:**

*   ബസ് യാത്രകൾക്കായി **KSRTC** യുടെ വെബ്സൈറ്റോ ആപ്പോ ഉപയോഗിച്ച് ടിക്കറ്റുകൾ മുൻകൂട്ടി ബുക്ക് ചെയ്യാം.
*   ട്രെയിൻ ടിക്കറ്റുകൾ **IRCTC** വെബ്സൈറ്റ് വഴി എളുപ്പത്തിൽ എടുക്കാം.

**4. മറ്റ് ആവശ്യങ്ങൾ:**

*   ആശുപത്രിയിൽ ഡോക്ടറെ കാണാൻ ഓൺലൈനായി ബുക്ക് ചെയ്യാം (ഉദാഹരണത്തിന്, **ഇ-സഞ്ജീവനി**).
*   മക്കൾക്ക് പഠിക്കാനാവശ്യമായ വിവരങ്ങൾ തിരയാനും, പരീക്ഷാഫലം അറിയാനും ഓൺലൈൻ സംവിധാനങ്ങൾ സഹായിക്കും.

**എവിടെ ഈ സേവനങ്ങൾ ലഭിക്കും?**

ഈ സേവനങ്ങളെല്ലാം നിങ്ങളുടെ അടുത്തുള്ള **അക്ഷയ കേന്ദ്രങ്ങൾ** വഴി എളുപ്പത്തിൽ ചെയ്യാൻ സാധിക്കും. കൂടാതെ, സ്മാർട്ട്ഫോണോ കമ്പ്യൂട്ടറോ ഉപയോഗിക്കാൻ അറിയാമെങ്കിൽ പലതും നമുക്ക് സ്വന്തമായി തന്നെ ചെയ്യാം.

ഇതിൽ ഏത് സേവനത്തെക്കുറിച്ചാണ് നിങ്ങൾക്ക് കൂടുതൽ അറിയേണ്ടത്? ചോദിക്കാൻ ഒരു മടിയും വിചാരിക്കരുത്. സഹായിക്കാൻ ഞാൻ ഇവിടെയുണ്ട്.

സ്നേഹത്തോടെ,
നിങ്ങളുടെ സ്വന്തം ഗ്രാമസഖി.
"
2025-10-15 11:03:40.915765,പൻ കർഡ,"
ഗ്രാമസഖി (പ്രാദേശിക വിവരം): റേഷൻ കാർഡ് അപേക്ഷ/അപ്‌ഡേറ്റ് ചെയ്യാൻ: https://civilsupplieskerala.gov.in/ അല്ലെങ്കിൽ അടുത്ത അക്ഷയ കേന്ദ്രം.
"
2025-10-15 11:15:23.076892,വദയത പരശന,"
ഗ്രാമസഖി (AI മറുപടി): നമസ്കാരം! നിങ്ങളുടെ ഗ്രാമസഖി ഇവിടെയുണ്ട്. എന്തൊക്കെയുണ്ട് വിശേഷം?

ക്ഷമിക്കണം, 'വദയത പരശന' എന്ന് ടൈപ്പ് ചെയ്തതിൽ ഒരു ചെറിയ പിശകുണ്ടെന്നു തോന്നുന്നു. നിങ്ങൾ 'വൈദ്യുതി പ്രശ്നം' (Electricity Problem) എന്നാണോ ഉദ്ദേശിച്ചത്? അങ്ങനെയാണെങ്കിൽ, ഒരു മടിയും വിചാരിക്കേണ്ട, ഞാൻ സഹായിക്കാം.

നമ്മുടെ നാട്ടിലെ വൈദ്യുതി പ്രശ്നങ്ങളെക്കുറിച്ച് അറിയേണ്ട കാര്യങ്ങൾ താഴെക്കൊടുക്കുന്നു:

**1. കറന്റ് പോയാൽ എന്തു ചെയ്യണം?**
*   ആദ്യം തന്നെ നമ്മുടെ വീട്ടിലെ ഫ്യൂസ് പോയതാണോ എന്ന് നോക്കുക.
*   അയൽപക്കത്തെ വീടുകളിലും കറന്റ് ഇല്ലയോ എന്ന് ചോദിച്ചറിയുക. എല്ലായിടത്തും പോയതാണെങ്കിൽ അത് KSEB ലൈനിലെ തകരാറ് കൊണ്ടാവാം.
*   പരാതിപ്പെടാനായി KSEB-യുടെ ടോൾ ഫ്രീ നമ്പറായ **1912**-ൽ വിളിക്കാം.
*   അല്ലെങ്കിൽ നിങ്ങളുടെ തൊട്ടടുത്തുള്ള KSEB സെക്ഷൻ ഓഫീസിലെ നമ്പറിലും വിളിച്ചു പരാതി പറയാവുന്നതാണ്.

**2. വോൾട്ടേജ് കുറവോ കൂടുതലോ ആണെങ്കിൽ:**
ഇടയ്ക്കിടെ വോൾട്ടേജ് കുറയുകയോ കൂടുകയോ ചെയ്യുന്നുണ്ടെങ്കിൽ, അത് നമ്മുടെ വീട്ടിലെ ഇലക്ട്രിക് ഉപകരണങ്ങൾക്ക് കേടുവരുത്തും. ഈ പ്രശ്നവും **1912** എന്ന നമ്പറിലോ അല്ലെങ്കിൽ നിങ്ങളുടെ സെക്ഷൻ ഓഫീസിലോ വിളിച്ച് അറിയിക്കാം.

**3. മീറ്റർ സംബന്ധമായ പ്രശ്നങ്ങൾ:**
മീറ്റർ ഓടുന്നില്ലെങ്കിലോ, കത്തുന്ന മണം വരുന്നുണ്ടെങ്കിലോ, വേറെന്തെങ്കിലും തകരാറുണ്ടെങ്കിലോ ഉടൻ തന്നെ സെക്ഷൻ ഓഫീസിൽ അറിയിക്കണം.

**4. അപകടകരമായ സാഹചര്യങ്ങൾ:**
വൈദ്യുതി ലൈൻ പൊട്ടി വീഴുന്നത് പോലുള്ള അപകടകരമായ സാഹചര്യമാണെങ്കിൽ, ഒരു കാരണവശാലും അതിനടുത്തേക്ക് പോകരുത്. ഉടൻ തന്നെ KSEB ഓഫീസിൽ വിവരം അറിയിക്കുക. മറ്റുള്ളവർക്ക് മുന്നറിയിപ്പ് നൽകുകയും വേണം.

വേറെന്തെങ്കിലും അറിയണമെന്നുണ്ടെങ്കിൽ ചോദിക്കാൻ മടിക്കരുത് കേട്ടോ. ഏത് സഹായത്തിനും ഈ ഗ്രാമസഖി കൂടെയുണ്ടാകും.

എന്നും സഹായത്തിനായി,
നിങ്ങളുടെ സ്വന്തം ഗ്രാമസഖി.
"
2025-10-15 11:19:04.740012,മററർ സബനധമയ പരശനങങൾ:,"
ഗ്രാമസഖി (AI മറുപടി): നമസ്കാരം! ഞാൻ ഗ്രാമസഖി.

മോട്ടോർ വാഹനങ്ങളുമായി ബന്ധപ്പെട്ട കാര്യങ്ങളെക്കുറിച്ചാണല്ലേ അറിയേണ്ടത്? തീർച്ചയായും സഹായിക്കാമല്ലോ. ഈ വിഷയത്തിൽ ഒരുപാട് സംശയങ്ങൾ വരാൻ സാധ്യതയുണ്ട്. ലൈസൻസ് എടുക്കുന്നത് മുതൽ വാഹനം വിൽക്കുന്നത് വരെ പലതരം കാര്യങ്ങളുണ്ടാകും.

നിങ്ങളുടെ ചോദ്യം വ്യക്തമാക്കിയാൽ എനിക്ക് കൃത്യമായ മറുപടി നൽകാൻ എളുപ്പമാകും. പൊതുവായി വരാറുള്ള ചില വിഷയങ്ങൾ താഴെക്കൊടുക്കുന്നു. ഇതിൽ ഏത് കാര്യത്തെക്കുറിച്ചാണ് നിങ്ങൾക്കറിയേണ്ടത്?

1.  **ഡ്രൈവിംഗ് ലൈസൻസ്:**
    *   പുതിയ ലേണേഴ്സ് ലൈസൻസ് അല്ലെങ്കിൽ ഡ്രൈവിംഗ് ലൈസൻസ് എടുക്കുന്നതിനെക്കുറിച്ച്.
    *   ലൈസൻസ് പുതുക്കുന്നതിനെക്കുറിച്ച്.
    *   ലൈസൻസ് നഷ്ടപ്പെട്ടാൽ ഡ്യൂപ്ലിക്കേറ്റ് എടുക്കുന്നതിനെക്കുറിച്ച്.

2.  **വാഹന രജിസ്ട്രേഷൻ (RC):**
    *   പുതിയ വാഹനത്തിന്റെ രജിസ്ട്രേഷനെക്കുറിച്ച്.
    *   വാഹനം മറ്റൊരാൾക്ക് വിൽക്കുമ്പോൾ പേര് മാറ്റുന്നതിനെക്കുറിച്ച് (Ownership Transfer).
    *   വിലാസം മാറ്റുന്നതിനെക്കുറിച്ച്.

3.  **നികുതിയും ഇൻഷുറൻസും (Tax & Insurance):**
    *   വാഹന നികുതി അടയ്ക്കുന്നതിനെക്കുറിച്ച്.
    *   ഇൻഷുറൻസ് പുതുക്കുന്നതിനെക്കുറിച്ചും അതിന്റെ പ്രാധാന്യത്തെക്കുറിച്ചും.

4.  **നിയമലംഘനങ്ങളും പിഴകളും (Fines):**
    *   ക്യാമറയിൽ കുടുങ്ങിയാൽ പിഴ അടയ്ക്കുന്നതിനെക്കുറിച്ച്.
    *   എന്തെങ്കിലും പിഴ (fine) നിലവിലുണ്ടോ എന്ന് പരിശോധിക്കുന്നതിനെക്കുറിച്ച്.

5.  **മറ്റുള്ളവ:**
    *   പുക പരിശോധന സർട്ടിഫിക്കറ്റ് (Pollution Certificate).
    *   വാഹനത്തിന്റെ ഫിറ്റ്നസ് (Fitness Certificate).

അതുകൊണ്ട്, നിങ്ങളുടെ സംശയം എന്താണെന്ന് മടിക്കാതെ ചോദിച്ചോളൂ. ഏത് വിഷയമായാലും എനിക്കറിയാവുന്നതുപോലെ സഹായിക്കാൻ ശ്രമിക്കാം. ഞാൻ ഇവിടെത്തന്നെയുണ്ട്.
"
2025-10-15 11:25:54.882646,വധവ പൻഷൻ,"
ഗ്രാമസഖി (AI മറുപടി): തീർച്ചയായും! വിധവാ പെൻഷനെക്കുറിച്ചുള്ള വിവരങ്ങൾ ഇതാ.

```json
{
  ""keyword"": ""വിധവ പെൻഷൻ"",
  ""answer"": ""നമസ്കാരം! വിധവ പെൻഷനെ (Widow Pension) കുറിച്ചുള്ള വിവരങ്ങൾ താഴെ നൽകുന്നു.\n\nഭർത്താവ് മരണപ്പെട്ട നിർധനരായ സ്ത്രീകൾക്ക് സാമ്പത്തിക സഹായം നൽകുന്ന ഒരു സാമൂഹ്യ സുരക്ഷാ പദ്ധതിയാണിത്. ഇന്ദിരാഗാന്ധി ദേശീയ വിധവ പെൻഷൻ പദ്ധതിയുടെ ഭാഗമായാണ് കേരളത്തിൽ ഇത് നടപ്പിലാക്കുന്നത്.\n\n**യോഗ്യതാ മാനദണ്ഡങ്ങൾ:**\n*   അപേക്ഷക വിധവയായിരിക്കണം.\n*   കുടുംബത്തിൻ്റെ വാർഷിക വരുമാനം 1,00,000 രൂപയിൽ കവിയാൻ പാടില്ല.\n*   അപേക്ഷക പുനർവിവാഹം ചെയ്തിരിക്കരുത്.\n*   സർക്കാർ/അർദ്ധ സർക്കാർ സ്ഥാപനങ്ങളിൽ നിന്നോ മറ്റ് ക്ഷേമനിധികളിൽ നിന്നോ പെൻഷൻ വാങ്ങുന്നവരാകരുത്.\n\n**ആവശ്യമുള്ള പ്രധാന രേഖകൾ:**\n1.  ആധാർ കാർഡ്\n2.  റേഷൻ കാർഡ്\n3.  വില്ലേജ് ഓഫീസറിൽ നിന്നുള്ള വരുമാന സർട്ടിഫിക്കറ്റ്\n4.  ഭർത്താവിൻ്റെ മരണ സർട്ടിഫിക്കറ്റ്\n5.  ബാങ്ക് പാസ്സ്ബുക്കിൻ്റെ പകർപ്പ് (അപേക്ഷകയുടെ പേരിൽ അക്കൗണ്ട് വേണം)\n\n**എങ്ങനെ അപേക്ഷിക്കാം?**\nഅടുത്തുള്ള അക്ഷയ കേന്ദ്രം വഴി ഓൺലൈനായി അപേക്ഷ സമർപ്പിക്കാവുന്നതാണ്. അപേക്ഷകൾ നിങ്ങളുടെ പഞ്ചായത്ത്/മുനിസിപ്പാലിറ്റി/കോർപ്പറേഷൻ ഓഫീസിലാണ് പരിശോധനയ്ക്ക് ശേഷം പാസ്സാക്കുന്നത്.\n\nകൂടുതൽ വിവരങ്ങൾക്കോ സഹായത്തിനോ നിങ്ങളുടെ ഗ്രാമപഞ്ചായത്ത് ഓഫീസിലോ അക്ഷയ കേന്ദ്രത്തിലോ ബന്ധപ്പെടാവുന്നതാണ്. എല്ലാ ആശംസകളും!"",
  ""action_type"": ""form_filling"",
  ""form_fields"": {
    ""name"": ""അപേക്ഷകയുടെ പേര്"",
    ""aadhaar_number"": ""ആധാർ നമ്പർ"",
    ""address"": ""വിലാസം"",
    ""husbands_death_certificate_number"": ""ഭർത്താവിൻ്റെ മരണ സർട്ടിഫിക്കറ്റ് നമ്പർ"",
    ""income_certificate_number"": ""വരുമാന സർട്ടിഫിക്കറ്റ് നമ്പർ"",
    ""bank_account_number"": ""ബാങ്ക് അക്കൗണ്ട് നമ്പർ"",
    ""ifsc_code"": ""IFSC കോഡ്""
  },
  ""url"": ""https://sevana.lsgkerala.gov.in/""
}
```
"
