keyword,answer
വിധവ പെൻഷൻ,"വിധവ പെൻഷൻ ലഭിക്കാൻ ഗ്രാമ പഞ്ചായത്ത് ഓഫീസിൽ അപേക്ഷിക്കണം. അപേക്ഷ സമർപ്പിക്കാൻ ആവശ്യമായ രേഖകൾ: ആധാർ കാർഡ്, മരണ സർട്ടിഫിക്കറ്റ്, വരുമാന സർട്ടിഫിക്കറ്റ്. കൂടുതൽ വിവരങ്ങൾക്ക് Gram Panchayat / https://welfare.kerala.gov.in/ സന്ദർശിക്കുക."
ഭൂമിയുടെ രേഖ,"ഭൂമിയുടെ രേഖകൾക്കായി e-Rekha പോർട്ടൽ ഉപയോഗിക്കുക: https://erekha.kerala.gov.in/. ആവശ്യമായ രേഖകൾ: ഭൂമി ഐഡി, ഉടമസ്ഥ രേഖകൾ. فارم പൂരിപ്പിച്ചതിന് ശേഷം PDF ഡൗൺലോഡ് ചെയ്യാം."
വൈദ്യുതി പ്രശ്നം,"വൈദ്യുതി സംബന്ധമായ പ്രശ്നങ്ങൾ KSEB ഹെൽപ്‌ലൈൻ 1912-ൽ അറിയിക്കുക. അടിയന്തര വൈദ്യുതി അപകടങ്ങൾക്ക് 112 വിളിക്കുക. പരാതിയുടെ സ്റ്റാറ്റസ് KSEB പോർട്ടലിൽ പരിശോധിക്കാവുന്നതാണ്."
റേഷൻ കാർഡ്,"റേഷൻ കാർഡ് അപ്‌ഡേറ്റ് / പുതിയ അപേക്ഷയ്ക്കായി അടുത്ത അക്ഷയ കേന്ദ്രം അല്ലെങ്കിൽ https://civilsupplieskerala.gov.in/ സന്ദർശിക്കുക. ആവശ്യ രേഖകൾ: ആധാർ കാർഡ്, വരുമാന സർട്ടിഫിക്കറ്റ്, കുടുംബവിവരങ്ങൾ."
ആരോഗ്യ ഇൻഷുറൻസ്,"ആയുഷ്മാൻ ഭാരത് – കരുണ്യ ആരോഗ്യ സുരക്ഷ പദ്ധതി വിവരങ്ങൾക്ക് https://sha.kerala.gov.in/ സന്ദർശിക്കുക. അപേക്ഷ സമർപ്പിക്കാൻ പി.സി.ആർ/ആർ ടി ഐ ഫോം എന്നിവ ഉപയോഗിക്കാം."
ജനന സർട്ടിഫിക്കറ്റ്,"ജനന സർട്ടിഫിക്കറ്റ് ലഭിക്കാൻ CR Portal: https://cr.lsgkerala.gov.in/ അല്ലെങ്കിൽ പഞ്ചായത്ത്/മുനിസിപ്പാലിറ്റി ഓഫീസിൽ അപേക്ഷിക്കുക. ആവശ്യ രേഖകൾ: ആധാർ കാർഡ്, മാതാപിതാക്കളുടെ വിവരങ്ങൾ."
മരണ സർട്ടിഫിക്കറ്റ്,"മരണ സർട്ടിഫിക്കറ്റ് ലഭിക്കാൻ CR Portal അല്ലെങ്കിൽ പഞ്ചായത്ത്/മുനിസിപ്പാലിറ്റി ഓഫീസ് സമീപിക്കുക. ആവശ്യ രേഖകൾ: മരണ രേഖ, ബന്ധുക്കളുടെ വിവരങ്ങൾ."
വോട്ടർ ഐഡി,"വോട്ടർ ഐഡി രജിസ്ട്രേഷൻ / അപ്‌ഡേറ്റ്: https://voters.eci.gov.in/ (NVSP) അല്ലെങ്കിൽ അടുത്ത അക്ഷയ കേന്ദ്രം. ആവശ്യ രേഖകൾ: ആധാർ കാർഡ്, വിലാസ തെളിവ്."
ആധാർ കാർഡ്,"UIDAI സേവനങ്ങൾ: https://uidai.gov.in/ വഴി ആധാർ എന്രോൾ / അപ്‌ഡേറ്റ് ചെയ്യാം. അടുത്ത അക്ഷയ കേന്ദ്രം വഴി സഹായം ലഭ്യമാണ്."
കുടിവെള്ളം പരാതി,"കുടിവെള്ളം സംബന്ധിച്ച പരാതികൾ KWA ഹെൽപ്‌ലൈൻ 1916-ൽ അറിയിക്കുക. വീട്ടു നമ്പർ, ഉപഭോക്തൃ ഐഡി നൽകുക. അടിയന്തരത്തിൽ വാർഡ് മെമ്പർ / പഞ്ചായത്ത് ഓഫീസിനെ അറിയിക്കുക."
മലിനജല പ്രശ്നം,"മലിനജല പ്രശ്നങ്ങൾ സംബന്ധിച്ച് പരാതി ഗ്രാമ പഞ്ചായത്ത് ആരോഗ്യ വകുപ്പ് വഴി നൽകുക. ഹോട്ട്‌ലൈനുകൾ പഞ്ചായത്തിന്റെ വെബ്സൈറ്റിൽ ലഭ്യമാണ്."
മാലിന്യ സംസ്കരണം,"ഹരിത കേരളം മിഷൻ മാർഗ്ഗനിർദേശങ്ങൾ പാലിക്കുക: മാലിന്യം വേർതിരിച്ച് ഹരിത കേരളം ശേഖരണ കേന്ദ്രത്തിലേക്ക് കൈമാറുക. കൂടുതൽ വിവരങ്ങൾ പഞ്ചായത്ത് ഓഫീസ് വഴി."
വീടുകളുടെ നിർമ്മാണ അനുമതി,"പഞ്ചായത്ത്/കോർപ്പറേഷൻ ബിൽഡിങ് പെർമിറ്റ് അപേക്ഷിക്കുക. ആവശ്യ രേഖകൾ: ലേസൗട്ട് പ്ലാൻ, ഉടമസ്ഥ രേഖകൾ, പദ്ധതി അംഗീകാരങ്ങൾ."
വാസയോഗ്യത സർട്ടിഫിക്കറ്റ്,"കെട്ടിട നിർമ്മാണം പൂർത്തിയാക്കിയ ശേഷം വാസയോഗ്യത സർട്ടിഫിക്കറ്റ് ലഭിക്കാൻ സെക്രട്ടറി ഓഫീസിൽ അപേക്ഷിക്കുക."
